ID,Modul,Fitur,StaticStatus,RuntimeStatus,UIStatus,IntegrationStatus,SecurityStatus,MobileStatus,FinalStatus,Evidence,Issue,Priority
F-001,"Login & User","Web mobile dapat melakukan logout",PASS,PASS,PASS,PASS,PASS,PASS,PRODUCTION_READY,"MasterProductDemoController.php:38; HTTP 302",None,P3
F-002,"Login & User","Tombol logout tampil dan dapat digunakan di perangkat mobile",PASS,PASS,PASS,PASS,PASS,PASS,PRODUCTION_READY,employee-portal.blade.php:82,None,P3
F-003,"Login & User","Foto profil yang diubah melalui HP tersimpan dan tampil kembali di HP",PASS,PASS,PASS,PASS,PASS,PASS,PRODUCTION_READY,"EmployeePortalController.php:45; storage/app/avatars",None,P3
F-004,"Login & User","CEO dapat mengedit data setiap akun pengguna",PASS,PASS,PASS,PASS,PASS,PASS,PRODUCTION_READY,HrisController.php:110,None,P3
F-005,"Login & User","CEO dapat menghapus akun pengguna",PASS,PASS,PASS,PASS,PASS,PASS,PRODUCTION_READY,"UserController.php:129; EmployeeSeparationService.php; DataDeletionWorkflowTest.php",None,P3
F-006,"Login & User","CEO dapat mengubah password akun pengguna",PASS,PASS,PASS,PASS,PASS,PASS,PRODUCTION_READY,"HrisController.php:125; Hash::make",None,P3
F-007,"Login & User","Setiap akun karyawan memiliki informasi cabang",PASS,PASS,PASS,PASS,PASS,PASS,PRODUCTION_READY,"User.php:24; branch_id column",None,P3
F-008,"Login & User","Login akun tertentu dapat mengirim notifikasi ke email CEO",PASS,PASS,PASS,PASS,PASS,PASS,PRODUCTION_READY,"MasterProductDemoController.php:50; CeoLoginNotificationMail.php; RecipeAndRemediationTest.php:90",None,P3
F-009,"Login & User","CEO dapat menonaktifkan atau menghapus akun karyawan yang resign",PASS,PASS,PASS,PASS,PASS,PASS,PRODUCTION_READY,"ResignationRequestController.php:85; users.is_active = 0",None,P3
F-010,"Login & User","Data akun yang dihapus atau dinonaktifkan tetap memiliki arsip dan jejak audit",PASS,PASS,PASS,PASS,PASS,PASS,PRODUCTION_READY,"employee_separations table; EmployeeSeparationService.php",None,P3
F-011,Resign,"Setiap akun karyawan memiliki menu pengajuan resign",PASS,PASS,PASS,PASS,PASS,PASS,PRODUCTION_READY,employee-portal.blade.php:512,None,P3
F-012,Resign,"Pengajuan resign memiliki status pending, approved, dan rejected",PASS,PASS,PASS,PASS,PASS,PASS,PRODUCTION_READY,"ResignationRequest.php:18; enum status",None,P3
